"Scope: to support the registration, discovery and search of devices in IoT infrastructures... Also retrieve and update... ",,,,,,,,,,,
Requirement,,,,,,,,,,Ontology Code - Traceability,
Identifier (domain+id),Responsible partner,"Competency Question /
 Natural language sentence (fact)",Answer,"Status (Proposed, Accepted, Rejected, Deprecated)",Superseded by,Comments,Extracted from (provenance),"Priority 
(High, Medium, Low)",Relation with other requirements,Associated ontology elements,
Requirement 1,UPM,What are the attributes of a building,"Identifier, Name, heating area, construction year ",,,,,,,,
Requirement 2,UPM,A building belongs to a municipality,,,,,,,,,
Requirement 3,UPM,Municipality is a feature of Interest,,,,,,,,,
Requirement 4,UPM,Building is a feature of interest,,,,,,,,,
Requirement 5,UPM,A building has TotalEnergyconsumption perYear,,,,,,,,,
Requirement 6,UPM,A building has energy use intensity per square/meter ,,,,,,,,,
Requirement 7,UPM,Energy has Price,,,,,,,,,
Requirement 8,UPM,Monthly Average Energy Price is a Price,,,,,,,,,
Requirement 9,UPM,A consumer has building ,,,,,,,,,
Requirement 10,UPM,Energy is a property,,,,,,,,,
Requirement 12,UPM,Measurement is about a property,,,,,,,,,
Requirement 13,UPM,Measurement is measured in Unit of mesurement ,,,,,,,,,
Requirement 14,UPM,Measurement has source,,,,,,,,,
Requirement 15,UPM,Price depends on the consumer category,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
